Nprocs,Decomp,Scatter_ms,Sobel_ms,Gather_ms
4,1,115.9376,57.5671,107.3004
4,2,319.5185,56.842,415.7892
4,3,173.5076,56.7367,184.8827
9,1,104.0237,29.3737,99.6957
9,2,604.8508,25.3565,2042.6006
9,3,228.4077,26.523,274.7246
16,1,113.224,14.6272,110.3393
16,2,875.5284,14.4257,7003.8694
16,3,321.5109,14.3346,678.8979
25,1,110.9138,10.8829,108.6538
25,2,1088.3567,9.3694,15626.8786
25,3,376.4999,9.1694,908.9662
36,1,115.8168,7.7538,112.8535
36,2,1427.9317,8.4746,34937.852
36,3,464.7863,6.3754,1330.2986
49,1,116.3891,5.1693,111.8579
49,2,1798.5284,6.1797,64179.4855
49,3,535.2333,4.6777,1750.0002
64,1,119.0342,4.7611,115.9211
64,2,2165.322,4.8361,116611.4692
64,3,577.2914,3.6455,2231.3048
81,1,123.1965,5.2815,117.8395
81,2,2614.2114,6.8297,208582.6182
81,3,631.1145,5.6131,2891.9288
