Nprocs,Decomp,Num_Messages,Data_MB,Scatter_ms,Sobel_ms,Gather_ms
4.0,1.0,7716,209.34,117.1696,56.7502,105.1014
4.0,2.0,30876,209.42,326.073,56.5751,415.156
4.0,3.0,15438,209.42,179.5677,56.4161,189.9867
9.0,1.0,9136,247.86,106.4423,25.3641,99.4921
9.0,2.0,82336,248.13,601.7967,25.4097,1998.6066
9.0,3.0,27440,248.08,230.698,25.6073,280.8491
16.0,1.0,9630,261.26,114.1676,14.457,109.8825
16.0,2.0,154380,261.48,903.3579,14.7887,7021.3166
16.0,3.0,38580,261.67,325.255,14.118,686.717
25.0,1.0,9840,266.96,111.3568,10.659,107.3532
25.0,2.0,247008,267.6,1128.486,13.7181,15758.5692
25.0,3.0,49392,267.93,384.869,9.5055,937.949
36.0,1.0,9940,269.67,115.6182,8.718,110.9614
36.0,2.0,360220,270.7,1450.1334,8.0714,34956.1625
36.0,3.0,59990,271.18,476.9107,12.7194,1376.5048
49.0,1.0,10080,273.47,115.0575,4.8687,111.0073
49.0,2.0,494016,273.26,1784.035,8.1249,63163.6611
49.0,3.0,70560,273.47,540.6003,4.9244,1730.0151
64.0,1.0,10080,273.47,116.497,5.1671,114.3114
64.0,2.0,648396,274.55,2124.2389,5.0728,117123.8943
64.0,3.0,81018,274.75,574.6628,3.8692,2193.682
81.0,1.0,10080,273.47,119.1021,5.1692,116.4419
81.0,2.0,823360,273.26,2563.2482,9.9461,205692.6371
81.0,3.0,91360,275.32,638.8597,3.3194,2885.1266
